country,gender,age_group,religion,environment
Angola,Female,56-65,Christianity,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Female,36-45,Christianity,Urban
Angola,Male,18-25,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,56-65,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Male,36-45,Christianity,Rural
Angola,Male,36-45,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Female,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,36-45,Christianity,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,65+,I do not identify with any religious group or faith,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,18-25,I do not identify with any religious group or faith,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Female,56-65,Christianity,Urban
Angola,Female,18-25,I do not identify with any religious group or faith,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Rural
Angola,Female,36-45,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Female,36-45,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,56-65,I do not identify with any religious group or faith,Rural
Angola,Male,56-65,I do not identify with any religious group or faith,Rural
Angola,Male,56-65,Christianity,Rural
Angola,Female,46-55,I do not identify with any religious group or faith,Rural
Angola,Female,18-25,I do not identify with any religious group or faith,Rural
Angola,Female,18-25,I do not identify with any religious group or faith,Rural
Angola,Male,56-65,I do not identify with any religious group or faith,Rural
Angola,Female,26-35,I do not identify with any religious group or faith,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,46-55,Christianity,Rural
Angola,Female,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Female,36-45,Christianity,Rural
Angola,Male,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,65+,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,46-55,Christianity,Rural
Angola,Male,56-65,Christianity,Rural
Angola,Female,18-25,I do not identify with any religious group or faith,Urban
Angola,Male,18-25,I do not identify with any religious group or faith,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Male,26-35,I do not identify with any religious group or faith,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Male,46-55,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,46-55,Christianity,Urban
Angola,Female,36-45,Christianity,Rural
Angola,Male,65+,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Female,36-45,I do not identify with any religious group or faith,Rural
Angola,Female,46-55,Christianity,Urban
Angola,Male,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,36-45,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Female,46-55,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,18-25,Christianity,Rural
Angola,Female,46-55,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,56-65,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Male,46-55,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,26-35,I do not identify with any religious group or faith,Urban
Angola,Male,18-25,I do not identify with any religious group or faith,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Male,26-35,Christianity,Urban
Angola,Female,56-65,Christianity,Rural
Angola,Female,36-45,Christianity,Urban
Angola,Female,56-65,Christianity,Rural
Angola,Female,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,26-35,I do not identify with any religious group or faith,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,65+,Christianity,Urban
Angola,Female,46-55,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,18-25,I do not identify with any religious group or faith,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Female,46-55,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,46-55,Christianity,Rural
Angola,Female,36-45,I do not identify with any religious group or faith,Rural
Angola,Male,56-65,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Female,36-45,Christianity,Rural
Angola,Male,26-35,I do not identify with any religious group or faith,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,46-55,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Female,56-65,Christianity,Rural
Angola,Male,26-35,I do not identify with any religious group or faith,Urban
Angola,Male,18-25,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,I do not identify with any religious group or faith,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Female,65+,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Male,56-65,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Female,36-45,Christianity,Rural
Angola,Female,46-55,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Male,65+,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Male,18-25,I do not identify with any religious group or faith,Urban
Angola,Male,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,26-35,I do not identify with any religious group or faith,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,46-55,Christianity,Rural
Angola,Male,26-35,Christianity,Urban
Angola,Male,18-25,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Female,56-65,Christianity,Rural
Angola,Female,36-45,I do not identify with any religious group or faith,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,46-55,I do not identify with any religious group or faith,Rural
Angola,Male,26-35,Christianity,Urban
Angola,Female,36-45,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Male,,Christianity,Rural
Angola,Female,18-25,I do not identify with any religious group or faith,Rural
Angola,Female,36-45,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,36-45,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Female,46-55,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Male,46-55,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,18-25,I do not identify with any religious group or faith,Rural
Angola,Male,18-25,I do not identify with any religious group or faith,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,18-25,I do not identify with any religious group or faith,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Female,56-65,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Female,46-55,Christianity,Urban
Angola,Female,36-45,,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,46-55,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Male,18-25,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Male,65+,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,56-65,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Female,18-25,I do not identify with any religious group or faith,Urban
Angola,Female,18-25,I do not identify with any religious group or faith,Urban
Angola,Male,18-25,I do not identify with any religious group or faith,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Female,26-35,Christianity,Urban
Angola,Male,26-35,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,46-55,Christianity,Rural
Angola,Male,36-45,Christianity,Urban
Angola,Female,18-25,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Female,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Urban
Angola,Male,36-45,Christianity,Urban
Angola,Male,26-35,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,36-45,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Female,26-35,Christianity,Rural
Angola,Female,26-35,I do not identify with any religious group or faith,Urban
Angola,Male,56-65,Christianity,Urban
Angola,Female,36-45,Christianity,Rural
Angola,Female,26-35,Christianity,Urban
Angola,Male,18-25,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Female,36-45,Christianity,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Male,56-65,I do not identify with any religious group or faith,Urban
Angola,Male,26-35,Christianity,Urban
Angola,Female,18-25,Christianity,Urban
Angola,Male,26-35,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,46-55,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Female,36-45,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Female,36-45,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Female,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Female,46-55,Christianity,Rural
Angola,Male,36-45,Christianity,Rural
Angola,Male,26-35,Christianity,Rural
Angola,Female,18-25,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Male,18-25,Christianity,Rural
Angola,Female,36-45,Christianity,Rural
